date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:05	296624/296624	---MCZ	200	added ('OK')	text/html	etag:W/%2263620916-486b0%22	https://htmldemo.net/pustok/pustok/index-2.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/index-2.html	(from )
17:57:05	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Apr%202024%2010:57:04%20GMT	https://htmldemo.net/robots.txt		(from )
17:57:06	474671/474671	---MCZ	200	added ('OK')	text/css	etag:W/%2263620934-73e2f%22	https://htmldemo.net/pustok/pustok/css/plugins.css	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/css/plugins.css	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:06	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2263620960-47e%22	https://htmldemo.net/pustok/pustok/image/favicon.ico	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/favicon.ico	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:06	261374/261374	---MCZ	200	added ('OK')	text/html	etag:W/%226362091c-3fcfe%22	https://htmldemo.net/pustok/pustok/index.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/index.html	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:06	494648/494648	---MCZ	200	added ('OK')	text/css	etag:W/%2263620934-78c38%22	https://htmldemo.net/pustok/pustok/css/main.css	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/css/main.css	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:07	2436/2436	---MC-	200	added ('OK')	image/png	date:Sun,%2007%20Apr%202024%2010:57:06%20GMT	https://htmldemo.net/pustok/pustok/image/logo.png	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/logo.png	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:07	40449/40449	---MCZ	200	added ('OK')	text/html	etag:W/%226362091c-9e01%22	https://htmldemo.net/pustok/pustok/login-register.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/login-register.html	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:07	99325/99325	---MCZ	200	added ('OK')	text/html	etag:W/%2263620928-183fd%22	https://htmldemo.net/pustok/pustok/product-details.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/product-details.html	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:07	3373/3373	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Mar%202024%2007:07:25%20GMT	https://htmldemo.net/pustok/pustok/image/products/cart-product-1.jpg	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/products/cart-product-1.jpg	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:08	50915/50915	---MCZ	200	added ('OK')	text/html	etag:W/%226362090f-c6e3%22	https://htmldemo.net/pustok/pustok/cart.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/cart.html	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:08	47649/47649	---MCZ	200	added ('OK')	text/html	etag:W/%226362090f-ba21%22	https://htmldemo.net/pustok/pustok/checkout.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/checkout.html	(from https://htmldemo.net/pustok/pustok/index-2.html)
